metric,value
image_auroc,0.7722222222222223
image_f1,0.8630136986301369
pixel_f1,0.2685262201397229
region_f1,0.03846153846153846
pixel_auroc,0.548590312334815
pro_auroc,0.43987196249601124
latency_ms_mean,48.850860595703125
latency_ms_std,3.185333013534546
fps,20.470468438133494
throughput_samples_per_sec,35.527769975362354
throughput_total_samples,13829.0
throughput_total_time_sec,389.24480792321265
gpu_peak_reserved_bytes,1054867456.0
gpu_peak_reserved_bytes_std,0.0
params_total,208377345.0
params_trainable,208377345.0
flops,nan
vram_peak_bytes,935962112.0
